file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180418-0094,94,TU20180418-02,315.0,6.0,100,24.5,SS_304,M,2510,365.0,7.5,0.0014078694984801495,0.24117214573017043,0.0001659549133273585,-2.954446134827844,0.11787663097077772,3.087567026621572,-34.06543876646849,-35.33711428416201
20180418-0095,95,TU20180418-02,315.0,4.5,100,24.5,SS_304,M,2510,365.0,7.5,0.0010173190887331784,0.17792838094905294,0.00011667694951707696,-3.034243206630718,0.11469061262024435,3.0710137195998155,-32.52489906330207,-37.87874122547323
20180418-0095,95,TU20180418-02,315.0,4.5,100,24.5,SS_304,M,2510,365.0,7.5,0.0010174085211139645,0.17788563787853046,0.00011666936570083667,-3.0341545957274647,0.11467307701835928,3.0711450735735912,-32.51481931133246,-37.85118858726072
20180418-0096,96,TU20180418-02,325.0,12.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0015547627190545554,0.27456275793655627,0.0005576262069014409,-2.830063081815478,0.3586567905619265,-3.104625839752034,-33.934248662857755,-25.026834718181583
20180418-0096,96,TU20180418-02,325.0,12.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0015547963608356983,0.2746533212686266,0.0005576546417823553,-2.8299998303909684,0.358667318646551,-3.104653151659595,-33.91655003454571,-25.04343644644448
20180418-0097,97,TU20180418-02,325.0,9.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0017377609812436717,0.27750792972136906,0.0003305181855352212,-2.8676339390279963,0.1901977251777616,3.138043438430221,-36.61261934009075,-28.879180712397783
20180418-0097,97,TU20180418-02,325.0,9.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0017374715693318182,0.27753014554937355,0.00033047950479841623,-2.86784079845619,0.19020714389330082,3.1378143631740225,-36.58735810031717,-28.89380381601628
20180418-0098,98,TU20180418-02,325.0,7.5,100,24.0,SS_304,M,2510,365.0,7.5,0.0016598161816051321,0.26740830167726903,0.0002307875974391093,-2.8996797264760024,0.13904407005836344,3.1160972790263153,-36.447065167183645,-30.81400712070621
20180418-0098,98,TU20180418-02,325.0,7.5,100,24.0,SS_304,M,2510,365.0,7.5,0.0016597519537850224,0.2674845327209042,0.00023077279058050093,-2.8999662320061215,0.13904052955276205,3.115734542452561,-36.41229699725813,-30.745432849918053
20180418-0099,99,TU20180418-02,325.0,6.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0014199214577418748,0.24191371967388603,0.0001650675506034548,-2.9540190912188993,0.11625118396757278,3.0872524962868013,-34.21693237296719,-35.57221974017694
20180418-0099,99,TU20180418-02,325.0,6.0,100,24.0,SS_304,M,2510,365.0,7.5,0.0014197070832717496,0.24212831300480278,0.00016507785325772933,-2.953651681800178,0.11627599467722832,3.0874053123746057,-34.19527158525348,-35.54922025728076
20180418-0100,100,TU20180418-02,325.0,4.5,100,24.0,SS_304,M,2510,365.0,7.5,0.0010276252894341903,0.17977683423639132,0.00011819575505475727,-3.0328658667170276,0.115018340118737,3.070542606226167,-32.45169841399292,-38.09676465737794
20180418-0100,100,TU20180418-02,325.0,4.5,100,24.0,SS_304,M,2510,365.0,7.5,0.001027594513727747,0.1796033527384121,0.00011814798987214201,-3.03315973358475,0.11497530231408416,3.070422220856424,-32.47926291605355,-38.07169869461886
20180418-0101,101,TU20180418-02,340.0,12.0,100,24.4,SS_304,M,2510,365.0,7.5,0.0016639260027380707,0.2859999565350123,0.000651230869273358,-2.8129489337551346,0.3913821096621641,-3.098948890290147,-34.78717923668349,-24.968192233936954
20180418-0101,101,TU20180418-02,340.0,12.0,100,24.4,SS_304,M,2510,365.0,7.5,0.0016639014457744373,0.28612486318670205,0.0006512498606515795,-2.8128994371387894,0.391399299703394,-3.0990243003254916,-34.78957458853441,-24.976504557261517
